treatment,value,value_log,value_std,value_sqrt,plot_name,plot_type,year,interval,grazer,f_year,f_break,f_new,f_one_yr,f_two_yr,met_sub,subset
Grazed,23,3.13549425940741,-0.8749985132920621,4.795831523312719,p36,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,10,2.3025851929940404,-1.2837084235147171,3.1622776601683795,p36,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,4,1.3862946111198593,-1.4723437666944041,2,p36,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,61,4.1108738805667535,0.3196919935126217,7.810249675906654,p37,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,65,4.174387285280252,0.4454488889657463,8.06225774829855,p37,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,23,3.13549425940741,-0.8749985132920621,4.795831523312719,p37,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,14,2.6390574010438272,-1.1579515280615926,3.7416573867739413,p37,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,22,3.09104249881286,-0.9064377371553433,4.69041575982343,p37,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,25,3.2188758648682,-0.8121200655654999,5,p37,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,31,3.4339872367432105,-0.6234847223858129,5.5677643628300215,p38,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,59,4.077537460854872,0.25681354578605936,7.681145747868608,p38,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,44,3.7841896566455335,-0.2147748121631579,6.6332495807108,p38,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,46,3.828641418228225,-0.15189636443659563,6.782329983125268,p38,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,31,3.4339872367432105,-0.6234847223858129,5.5677643628300215,p38,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,40,3.688879479113936,-0.34053170761628254,6.324555320336759,p38,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,15,2.7080502677688743,-1.1265123041983114,3.872983346207417,p39,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,13,2.5649494343846104,-1.1893907519248736,3.605551275463989,p39,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,11,2.397895363707457,-1.252269199651436,3.3166247903554,p39,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,14,2.6390574010438272,-1.1579515280615926,3.7416573867739413,p39,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,11,2.397895363707457,-1.252269199651436,3.3166247903554,p39,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,26,3.2580965764830196,-0.7806808417022186,5.0990195135927845,p39,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,27,3.2958369030413657,-0.7492416178389375,5.196152422706632,p40,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,12,2.48490673312133,-1.2208299757881549,3.4641016151377544,p40,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,20,2.9957323235539897,-0.9693161848819056,4.47213595499958,p40,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,14,2.6390574010438272,-1.1579515280615926,3.7416573867739413,p40,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,14,2.6390574010438272,-1.1579515280615926,3.7416573867739413,p40,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,11,2.397895363707457,-1.252269199651436,3.3166247903554,p40,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,60,4.094344578888768,0.28825276964934055,7.745966692414834,p41,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,45,3.8066625119925415,-0.18333558829987676,6.708203932499369,p41,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,68,4.219507719881989,0.5397665605555898,8.246211251235321,p41,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,38,3.6375861860421748,-0.40341015534284486,6.164414002968976,p41,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,21,3.0445224853424695,-0.9378769610186245,4.58257569495584,p41,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,35,3.555348090060842,-0.4977278269326883,5.916079783099616,p41,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,50,3.912023025428146,-0.026139468983470998,7.0710678118654755,p42,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,49,3.8918203185187896,-0.057578692846752155,7,p42,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,31,3.4339872367432105,-0.6234847223858129,5.5677643628300215,p42,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,31,3.4339872367432105,-0.6234847223858129,5.5677643628300215,p42,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,55,4.007333203414289,0.13105665033293476,7.416198487095663,p42,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,53,3.970291932420046,0.06817820260637246,7.280109889280518,p42,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,21,3.0445224853424695,-0.9378769610186245,4.58257569495584,p43,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,29,3.367295864469232,-0.6863631701123752,5.385164807134504,p43,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,4,1.3862946111198593,-1.4723437666944041,2,p43,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,6,1.7917596358947079,-1.4094653189678417,2.449489742783178,p43,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,5,1.6094381124340804,-1.440904542831123,2.23606797749979,p43,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,6,1.7917596358947079,-1.4094653189678417,2.449489742783178,p43,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,30,3.401197414995488,-0.6549239462490941,5.477225575051661,p44,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,8,2.079441666679828,-1.3465868712412794,2.8284271247461903,p44,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,8,2.079441666679828,-1.3465868712412794,2.8284271247461903,p44,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,3,1.0986126220013874,-1.5037829905576852,1.7320508075688772,p44,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,8,2.079441666679828,-1.3465868712412794,2.8284271247461903,p44,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,3,1.0986126220013874,-1.5037829905576852,1.7320508075688772,p44,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,14,2.6390574010438272,-1.1579515280615926,3.7416573867739413,p45,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,10,2.3025851929940404,-1.2837084235147171,3.1622776601683795,p45,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,7,1.945910291912446,-1.3780260951045606,2.6457513110645907,p45,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,7,1.945910291912446,-1.3780260951045606,2.6457513110645907,p45,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,7,1.945910291912446,-1.3780260951045606,2.6457513110645907,p45,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,3,1.0986126220013874,-1.5037829905576852,1.7320508075688772,p45,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,35,3.555348090060842,-0.4977278269326883,5.916079783099616,p46,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,23,3.13549425940741,-0.8749985132920621,4.795831523312719,p46,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,5,1.6094381124340804,-1.440904542831123,2.23606797749979,p46,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,34,3.5263605540279257,-0.5291670507959695,5.830951894845301,p46,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,39,3.6635616717706716,-0.37197093147956367,6.244997998398398,p46,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,30,3.401197414995488,-0.6549239462490941,5.477225575051661,p46,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,29,3.367295864469232,-0.6863631701123752,5.385164807134504,p47,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,35,3.555348090060842,-0.4977278269326883,5.916079783099616,p47,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,36,3.5835189662338873,-0.46628860306940717,6,p47,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,21,3.0445224853424695,-0.9378769610186245,4.58257569495584,p47,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,53,3.970291932420046,0.06817820260637246,7.280109889280518,p47,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,41,3.7135720910945516,-0.30909248375300136,6.4031242374328485,p47,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,45,3.8066625119925415,-0.18333558829987676,6.708203932499369,p48,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Grazed,52,3.9512437378121965,0.03673897874309131,7.211102550927978,p48,p,2020,New plot,Sheep,y5,b0,n1,o0,t0,abun_non,non
Ungrazed,29,3.367295864469232,-0.6863631701123752,5.385164807134504,p48,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,48,3.871201031741224,-0.08901791671003331,6.928203230275509,p48,p,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,61,4.1108738805667535,0.3196919935126217,7.810249675906654,p48,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,18,2.890371813451719,-1.0321946326084679,4.242640687119285,p48,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,78,4.356708839510104,0.8541587991884013,8.831760866327848,425,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Grazed,105,4.653960359681333,1.7030178434969925,10.246950765959598,425,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Ungrazed,30,3.401197414995488,-0.6549239462490941,5.477225575051661,425,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,65,4.174387285280252,0.4454488889657463,8.06225774829855,425,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,52,3.9512437378121965,0.03673897874309131,7.211102550927978,425,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,71,4.262679891125822,0.6340842321454332,8.426149773176359,425,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,70,4.248495256335073,0.6026450082821521,8.366600265340756,426,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Grazed,117,4.762173943344765,2.0802885298563663,10.816653826391969,426,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Ungrazed,14,2.6390574010438272,-1.1579515280615926,3.7416573867739413,426,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,23,3.13549425940741,-0.8749985132920621,4.795831523312719,426,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,27,3.2958369030413657,-0.7492416178389375,5.196152422706632,426,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,27,3.2958369030413657,-0.7492416178389375,5.196152422706632,426,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,37,3.610917939671251,-0.434849379206126,6.082762530298219,429,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Grazed,62,4.127134401174124,0.35113121737590286,7.874007874011811,429,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Ungrazed,38,3.6375861860421748,-0.40341015534284486,6.164414002968976,429,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,40,3.688879479113936,-0.34053170761628254,6.324555320336759,429,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,84,4.430816810748075,1.0427941423680882,9.16515138991168,429,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,51,3.9318256523321686,0.005299754879810155,7.14142842854285,429,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,58,4.060443027787798,0.22537432192277823,7.615773105863909,431,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Grazed,84,4.430816810748075,1.0427941423680882,9.16515138991168,431,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Ungrazed,63,4.143134742264548,0.382570441239184,7.937253933193772,431,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,30,3.401197414995488,-0.6549239462490941,5.477225575051661,431,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,40,3.688879479113936,-0.34053170761628254,6.324555320336759,431,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,42,3.7376696420928917,-0.2776532598897202,6.48074069840786,431,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,77,4.3438054348406965,0.8227195753251202,8.774964387392123,448,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Grazed,122,4.804021052929977,2.2374846491727722,11.045361017187261,448,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Ungrazed,29,3.367295864469232,-0.6863631701123752,5.385164807134504,448,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,45,3.8066625119925415,-0.18333558829987676,6.708203932499369,448,w,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,41,3.7135720910945516,-0.30909248375300136,6.4031242374328485,448,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,45,3.8066625119925415,-0.18333558829987676,6.708203932499369,448,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,152,5.023880527425224,3.180661365071207,12.328828005937952,455,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Grazed,88,4.477336825841843,1.1685510378212127,9.38083151964686,455,w,2019,Two years,Goat,y4,b2,n0,o0,t1,abun_non,non
Ungrazed,33,3.49650759176951,-0.5606062746592506,5.744562646538029,455,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Grazed,34,3.5263605540279257,-0.5291670507959695,5.830951894845301,455,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Ungrazed,49,3.8918203185187896,-0.057578692846752155,7,455,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,36,3.5835189662338873,-0.46628860306940717,6,455,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,74,4.304065106717683,0.7284019037352767,8.602325267042627,455,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,39,3.6635616717706716,-0.37197093147956367,6.244997998398398,455,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,99,4.5951198602356,1.5143825003173055,9.9498743710662,458,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Grazed,43,3.761200138949376,-0.24621403602643907,6.557438524302,458,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Ungrazed,68,4.219507719881989,0.5397665605555898,8.246211251235321,458,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Grazed,20,2.9957323235539897,-0.9693161848819056,4.47213595499958,458,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Ungrazed,18,2.890371813451719,-1.0321946326084679,4.242640687119285,458,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,6,1.7917596358947079,-1.4094653189678417,2.449489742783178,458,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,3,1.0986126220013874,-1.5037829905576852,1.7320508075688772,458,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,37,3.610917939671251,-0.434849379206126,6.082762530298219,458,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,56,4.025351708592292,0.16249587419621592,7.483314773547883,459,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Grazed,20,2.9957323235539897,-0.9693161848819056,4.47213595499958,459,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Ungrazed,89,4.488636380968095,1.199990261684494,9.433981132056603,459,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Grazed,11,2.397895363707457,-1.252269199651436,3.3166247903554,459,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Ungrazed,8,2.079441666679828,-1.3465868712412794,2.8284271247461903,459,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,9,2.1972246884473243,-1.3151476473779984,3,459,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,4,1.3862946111198593,-1.4723437666944041,2,459,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,4,1.3862946111198593,-1.4723437666944041,2,459,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,130,4.86753445814789,2.4889984400790213,11.40175425099138,460,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Grazed,53,3.970291932420046,0.06817820260637246,7.280109889280518,460,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Ungrazed,79,4.369447865125249,0.8855980230516824,8.888194417315589,460,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Grazed,33,3.49650759176951,-0.5606062746592506,5.744562646538029,460,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Ungrazed,14,2.6390574010438272,-1.1579515280615926,3.7416573867739413,460,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,31,3.4339872367432105,-0.6234847223858129,5.5677643628300215,460,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,14,2.6390574010438272,-1.1579515280615926,3.7416573867739413,460,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,18,2.890371813451719,-1.0321946326084679,4.242640687119285,460,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,72,4.2766661329049445,0.6655234560087144,8.48528137423857,461,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Grazed,80,4.382026647173881,0.9170372469149636,8.94427190999916,461,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Ungrazed,26,3.2580965764830196,-0.7806808417022186,5.0990195135927845,461,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Grazed,47,3.850147622986654,-0.12045714057331446,6.855654600401044,461,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Ungrazed,33,3.49650759176951,-0.5606062746592506,5.744562646538029,461,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,37,3.610917939671251,-0.434849379206126,6.082762530298219,461,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,85,4.442651268255022,1.0742333662313694,9.219544457292887,464,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Grazed,92,4.521788587918605,1.2943079332743375,9.591663046625438,464,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Ungrazed,39,3.6635616717706716,-0.37197093147956367,6.244997998398398,464,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Grazed,33,3.49650759176951,-0.5606062746592506,5.744562646538029,464,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Ungrazed,27,3.2958369030413657,-0.7492416178389375,5.196152422706632,464,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,24,3.1780538720146114,-0.843559289428781,4.898979485566356,464,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,45,3.8066625119925415,-0.18333558829987676,6.708203932499369,464,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,26,3.2580965764830196,-0.7806808417022186,5.0990195135927845,464,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,68,4.219507719881989,0.5397665605555898,8.246211251235321,469,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Grazed,60,4.094344578888768,0.28825276964934055,7.745966692414834,469,w,2019,One year,Goat,y4,b1,n0,o1,t0,abun_non,non
Ungrazed,38,3.6375861860421748,-0.40341015534284486,6.164414002968976,469,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Grazed,34,3.5263605540279257,-0.5291670507959695,5.830951894845301,469,w,2020,One year,Sheep,y5,b1,n0,o1,t0,abun_non,non
Ungrazed,9,2.1972246884473243,-1.3151476473779984,3,469,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Grazed,16,2.772588784739779,-1.0950730803350301,4,469,w,2021,One year,Sheep,y6,b1,n0,o1,t0,abun_non,non
Ungrazed,12,2.48490673312133,-1.2208299757881549,3.4641016151377544,469,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,20,2.9957323235539897,-0.9693161848819056,4.47213595499958,469,w,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,72,4.2766661329049445,1.90624428309632,8.48528137423857,p01,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Grazed,6,1.7917596358947079,-0.7243933260514781,2.449489742783178,p01,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Ungrazed,10,2.3025851929940404,-0.5649607436788843,3.1622776601683795,p01,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Grazed,22,3.09104249881286,-0.08666299656110273,4.69041575982343,p01,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Ungrazed,27,3.2958369030413657,0.11262773140463957,5.196152422706632,p01,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Grazed,35,3.555348090060842,0.4314928961498272,5.916079783099616,p01,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Ungrazed,9,2.1972246884473243,-0.6048188892720326,3,p02,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Grazed,17,2.833213402879744,-0.28595372452684503,4.123105625617661,p02,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Ungrazed,4,1.3862946111198593,-0.804109617237775,2,p02,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Grazed,25,3.2188758648682,0.03291144021834265,5,p02,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Ungrazed,14,2.6390574010438272,-0.4055281613062904,3.7416573867739413,p02,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Grazed,12,2.48490673312133,-0.4852444524925873,3.4641016151377544,p02,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Ungrazed,8,2.079441666679828,-0.6446770348651811,2.8284271247461903,p03,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Grazed,42,3.7376696420928917,0.7104999153018664,6.48074069840786,p03,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Ungrazed,42,3.7376696420928917,0.7104999153018664,6.48074069840786,p03,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Grazed,68,4.219507719881989,1.7468117007237263,8.246211251235321,p03,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Ungrazed,45,3.8066625119925415,0.8300743520813119,6.708203932499369,p03,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Grazed,80,4.382026647173881,2.2251094478415077,8.94427190999916,p03,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Ungrazed,7,1.945910291912446,-0.6845351804583296,2.6457513110645907,p04,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Grazed,4,1.3862946111198593,-0.804109617237775,2,p04,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Ungrazed,2,0.6931476805598203,-0.8838259084240719,1.4142135623730951,p04,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Grazed,1,9.999994999180668e-7,-0.9236840540172203,1,p04,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Ungrazed,1,9.999994999180668e-7,-0.9236840540172203,1,p04,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Grazed,4,1.3862946111198593,-0.804109617237775,2,p04,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Ungrazed,1,9.999994999180668e-7,-0.9236840540172203,1,p05,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Grazed,11,2.397895363707457,-0.5251025980857358,3.3166247903554,p05,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Ungrazed,10,2.3025851929940404,-0.5649607436788843,3.1622776601683795,p05,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Grazed,33,3.49650759176951,0.3517766049635303,5.744562646538029,p05,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Ungrazed,8,2.079441666679828,-0.6446770348651811,2.8284271247461903,p05,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Grazed,37,3.610917939671251,0.5112091873361242,6.082762530298219,p05,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_nat,nat
Ungrazed,12,2.48490673312133,-0.4852444524925873,3.4641016151377544,p06,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Grazed,2,0.6931476805598203,-0.8838259084240719,1.4142135623730951,p06,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_nat,nat
Ungrazed,7,1.945910291912446,-0.6845351804583296,2.6457513110645907,p06,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
Grazed,7,1.945910291912446,-0.6845351804583296,2.6457513110645907,p06,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_nat,nat
