treatment,value,value_log,value_std,value_sqrt,plot_name,plot_type,year,grazer,f_year,f_break,f_new,f_one_yr,f_two_yr,met_sub
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p28,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,12,2.48490673312133,1.817578671646662,3.4641016151377544,p29,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,16,2.772588784739779,3.4079600093374913,4,p29,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p29,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p29,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p29,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,9,2.1972246884473243,0.62479266837854,3,p29,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,9,2.1972246884473243,0.62479266837854,3,p30,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p30,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,3,1.0986126220013874,-1.7607793381577042,1.7320508075688772,p30,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p30,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,4,1.3862946111198593,-1.3631840037349967,2,p30,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p30,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,9,2.1972246884473243,0.62479266837854,3,p31,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,9,2.1972246884473243,0.62479266837854,3,p31,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p31,p,2022,Sheep,y7,b2,n0,o0,t1,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p31,p,2022,Sheep,y7,b2,n0,o0,t1,rich_non
Ungrazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p32,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Grazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p32,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Ungrazed,9,2.1972246884473243,0.62479266837854,3,p32,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p32,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Ungrazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p32,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p32,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,9,2.1972246884473243,0.62479266837854,3,p33,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Grazed,12,2.48490673312133,1.817578671646662,3.4641016151377544,p33,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Ungrazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p33,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Grazed,11,2.397895363707457,1.4199833372239548,3.3166247903554,p33,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Ungrazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p33,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p33,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,13,2.5649494343846104,2.215174006069369,3.605551275463989,p34,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Grazed,12,2.48490673312133,1.817578671646662,3.4641016151377544,p34,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Ungrazed,9,2.1972246884473243,0.62479266837854,3,p34,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Grazed,9,2.1972246884473243,0.62479266837854,3,p34,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Ungrazed,14,2.6390574010438272,2.612769340492077,3.7416573867739413,p34,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p34,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p35,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Grazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p35,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Ungrazed,3,1.0986126220013874,-1.7607793381577042,1.7320508075688772,p35,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p35,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Ungrazed,9,2.1972246884473243,0.62479266837854,3,p35,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p35,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,9,2.1972246884473243,0.62479266837854,3,p36,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Grazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p36,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Ungrazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p36,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Grazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p36,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p36,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,4,1.3862946111198593,-1.3631840037349967,2,p36,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p37,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Grazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p37,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Ungrazed,9,2.1972246884473243,0.62479266837854,3,p37,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p37,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Ungrazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p37,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p37,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p38,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Grazed,11,2.397895363707457,1.4199833372239548,3.3166247903554,p38,p,2020,Sheep,y5,b0,n1,o0,t0,rich_non
Ungrazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p38,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p38,p,2021,Sheep,y6,b1,n0,o1,t0,rich_non
Ungrazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p38,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,9,2.1972246884473243,0.62479266837854,3,p38,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
