index,index_g,index_g_n_f,plot_type,plot_name,year,treatment,native,forb,grazer,interval,f_grazed,f_native,f_forb,f_sheep,f_interval,f_break,f_one_yr,f_two_yr,f_year,in_v1
w_429_2016,w_429_2016_g1,w_429_2016_g1_n0_f1,w,429,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,TRUE
w_429_2016,w_429_2016_g1,w_429_2016_g1_n1_f0,w,429,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,TRUE
w_429_2016,w_429_2016_g1,w_429_2016_g1_n1_f1,w,429,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,TRUE
w_429_2016,w_429_2016_g0,w_429_2016_g0_n0_f0,w,429,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,TRUE
w_429_2016,w_429_2016_g0,w_429_2016_g0_n0_f1,w,429,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,TRUE
w_429_2016,w_429_2016_g0,w_429_2016_g0_n1_f0,w,429,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,TRUE
w_429_2016,w_429_2016_g0,w_429_2016_g0_n1_f1,w,429,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,TRUE
w_432_2016,w_432_2016_g1,w_432_2016_g1_n0_f0,w,432,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_432_2016,w_432_2016_g1,w_432_2016_g1_n0_f1,w,432,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_432_2016,w_432_2016_g1,w_432_2016_g1_n1_f0,w,432,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_432_2016,w_432_2016_g1,w_432_2016_g1_n1_f1,w,432,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_432_2016,w_432_2016_g0,w_432_2016_g0_n0_f0,w,432,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_432_2016,w_432_2016_g0,w_432_2016_g0_n0_f1,w,432,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_432_2016,w_432_2016_g0,w_432_2016_g0_n1_f0,w,432,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_432_2016,w_432_2016_g0,w_432_2016_g0_n1_f1,w,432,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_434_2016,w_434_2016_g1,w_434_2016_g1_n0_f0,w,434,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_434_2016,w_434_2016_g1,w_434_2016_g1_n0_f1,w,434,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_434_2016,w_434_2016_g1,w_434_2016_g1_n1_f0,w,434,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_434_2016,w_434_2016_g1,w_434_2016_g1_n1_f1,w,434,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_434_2016,w_434_2016_g0,w_434_2016_g0_n0_f0,w,434,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_434_2016,w_434_2016_g0,w_434_2016_g0_n0_f1,w,434,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_434_2016,w_434_2016_g0,w_434_2016_g0_n1_f0,w,434,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_434_2016,w_434_2016_g0,w_434_2016_g0_n1_f1,w,434,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_435_2016,w_435_2016_g1,w_435_2016_g1_n0_f0,w,435,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_435_2016,w_435_2016_g1,w_435_2016_g1_n0_f1,w,435,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_435_2016,w_435_2016_g1,w_435_2016_g1_n1_f0,w,435,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_435_2016,w_435_2016_g1,w_435_2016_g1_n1_f1,w,435,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_435_2016,w_435_2016_g0,w_435_2016_g0_n0_f0,w,435,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_435_2016,w_435_2016_g0,w_435_2016_g0_n0_f1,w,435,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_435_2016,w_435_2016_g0,w_435_2016_g0_n1_f0,w,435,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_435_2016,w_435_2016_g0,w_435_2016_g0_n1_f1,w,435,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
