index,index_g,index_g_n_f,plot_type,plot_name,year,treatment,native,forb,grazer,interval,f_grazed,f_native,f_forb,f_sheep,f_interval,f_break,f_one_yr,f_two_yr,f_year,in_v1
w_416_2016,w_416_2016_g1,w_416_2016_g1_n0_f0,w,416,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_416_2016,w_416_2016_g1,w_416_2016_g1_n0_f1,w,416,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_416_2016,w_416_2016_g1,w_416_2016_g1_n1_f0,w,416,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_416_2016,w_416_2016_g1,w_416_2016_g1_n1_f1,w,416,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_416_2016,w_416_2016_g0,w_416_2016_g0_n0_f0,w,416,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_416_2016,w_416_2016_g0,w_416_2016_g0_n0_f1,w,416,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_416_2016,w_416_2016_g0,w_416_2016_g0_n1_f0,w,416,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_416_2016,w_416_2016_g0,w_416_2016_g0_n1_f1,w,416,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_418_2016,w_418_2016_g1,w_418_2016_g1_n0_f0,w,418,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_418_2016,w_418_2016_g1,w_418_2016_g1_n0_f1,w,418,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_418_2016,w_418_2016_g1,w_418_2016_g1_n1_f0,w,418,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_418_2016,w_418_2016_g1,w_418_2016_g1_n1_f1,w,418,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_418_2016,w_418_2016_g0,w_418_2016_g0_n0_f0,w,418,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_418_2016,w_418_2016_g0,w_418_2016_g0_n0_f1,w,418,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_418_2016,w_418_2016_g0,w_418_2016_g0_n1_f0,w,418,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_418_2016,w_418_2016_g0,w_418_2016_g0_n1_f1,w,418,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_421_2016,w_421_2016_g1,w_421_2016_g1_n0_f0,w,421,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_421_2016,w_421_2016_g1,w_421_2016_g1_n0_f1,w,421,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_421_2016,w_421_2016_g1,w_421_2016_g1_n1_f0,w,421,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_421_2016,w_421_2016_g1,w_421_2016_g1_n1_f1,w,421,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_421_2016,w_421_2016_g0,w_421_2016_g0_n0_f0,w,421,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_421_2016,w_421_2016_g0,w_421_2016_g0_n0_f1,w,421,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_421_2016,w_421_2016_g0,w_421_2016_g0_n1_f0,w,421,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_421_2016,w_421_2016_g0,w_421_2016_g0_n1_f1,w,421,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_422_2016,w_422_2016_g1,w_422_2016_g1_n0_f0,w,422,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_422_2016,w_422_2016_g1,w_422_2016_g1_n0_f1,w,422,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_422_2016,w_422_2016_g1,w_422_2016_g1_n1_f0,w,422,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_422_2016,w_422_2016_g1,w_422_2016_g1_n1_f1,w,422,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_422_2016,w_422_2016_g0,w_422_2016_g0_n0_f0,w,422,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_422_2016,w_422_2016_g0,w_422_2016_g0_n0_f1,w,422,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_422_2016,w_422_2016_g0,w_422_2016_g0_n1_f0,w,422,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_422_2016,w_422_2016_g0,w_422_2016_g0_n1_f1,w,422,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_425_2016,w_425_2016_g1,w_425_2016_g1_n0_f0,w,425,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,TRUE
w_425_2016,w_425_2016_g1,w_425_2016_g1_n0_f1,w,425,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,TRUE
w_425_2016,w_425_2016_g1,w_425_2016_g1_n1_f0,w,425,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,TRUE
w_425_2016,w_425_2016_g1,w_425_2016_g1_n1_f1,w,425,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,TRUE
w_425_2016,w_425_2016_g0,w_425_2016_g0_n0_f0,w,425,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,TRUE
w_425_2016,w_425_2016_g0,w_425_2016_g0_n0_f1,w,425,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,TRUE
w_425_2016,w_425_2016_g0,w_425_2016_g0_n1_f0,w,425,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,TRUE
w_425_2016,w_425_2016_g0,w_425_2016_g0_n1_f1,w,425,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,TRUE
w_426_2016,w_426_2016_g1,w_426_2016_g1_n0_f0,w,426,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,TRUE
w_426_2016,w_426_2016_g1,w_426_2016_g1_n0_f1,w,426,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,TRUE
w_426_2016,w_426_2016_g1,w_426_2016_g1_n1_f0,w,426,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,TRUE
w_426_2016,w_426_2016_g1,w_426_2016_g1_n1_f1,w,426,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,TRUE
w_426_2016,w_426_2016_g0,w_426_2016_g0_n0_f0,w,426,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,TRUE
w_426_2016,w_426_2016_g0,w_426_2016_g0_n0_f1,w,426,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,TRUE
w_426_2016,w_426_2016_g0,w_426_2016_g0_n1_f0,w,426,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,TRUE
w_426_2016,w_426_2016_g0,w_426_2016_g0_n1_f1,w,426,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,TRUE
w_427_2016,w_427_2016_g1,w_427_2016_g1_n0_f0,w,427,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_427_2016,w_427_2016_g1,w_427_2016_g1_n0_f1,w,427,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_427_2016,w_427_2016_g1,w_427_2016_g1_n1_f0,w,427,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_427_2016,w_427_2016_g1,w_427_2016_g1_n1_f1,w,427,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_427_2016,w_427_2016_g0,w_427_2016_g0_n0_f0,w,427,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_427_2016,w_427_2016_g0,w_427_2016_g0_n0_f1,w,427,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_427_2016,w_427_2016_g0,w_427_2016_g0_n1_f0,w,427,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_427_2016,w_427_2016_g0,w_427_2016_g0_n1_f1,w,427,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_429_2016,w_429_2016_g1,w_429_2016_g1_n0_f0,w,429,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,TRUE
