orig_plot,plot_type,plot_name,f_grazed,month,treatment
PER P8_E_4,p,p08,g0,4,Ungrazed
PER P8_E_5,p,p08,g0,5,Ungrazed
PER P9_E_4,p,p09,g0,4,Ungrazed
PER P9_E_5,p,p09,g0,5,Ungrazed
PER P10_E_4,p,p10,g0,4,Ungrazed
PER P10_E_5,p,p10,g0,5,Ungrazed
PER P11_E_4,p,p11,g0,4,Ungrazed
PER P11_E_5,p,p11,g0,5,Ungrazed
PER P12_E_4,p,p12,g0,4,Ungrazed
PER P12_E_5,p,p12,g0,5,Ungrazed
PER P13_E_4,p,p13,g0,4,Ungrazed
PER P13_E_5,p,p13,g0,5,Ungrazed
PER P14_E_4,p,p14,g0,4,Ungrazed
PER P14_E_5,p,p14,g0,5,Ungrazed
PER P15_E_4,p,p15,g0,4,Ungrazed
PER P15_E_5,p,p15,g0,5,Ungrazed
PER P16_E_4,p,p16,g0,4,Ungrazed
PER P16_E_5,p,p16,g0,5,Ungrazed
PER P17_E_4,p,p17,g0,4,Ungrazed
PER P17_E_5,p,p17,g0,5,Ungrazed
PER P18_E_4,p,p18,g0,4,Ungrazed
PER P18_E_5,p,p18,g0,5,Ungrazed
PER P19_E_4,p,p19,g0,4,Ungrazed
PER P19_E_5,p,p19,g0,5,Ungrazed
PER P20_E_4,p,p20,g0,4,Ungrazed
PER P20_E_5,p,p20,g0,5,Ungrazed
PER P21_E_4,p,p21,g0,4,Ungrazed
PER P21_E_5,p,p21,g0,5,Ungrazed
PER P22_E_4,p,p22,g0,4,Ungrazed
PER P22_E_5,p,p22,g0,5,Ungrazed
PER P23_E_4,p,p23,g0,4,Ungrazed
PER P23_E_5,p,p23,g0,5,Ungrazed
PER P24_E_4,p,p24,g0,4,Ungrazed
PER P24_E_5,p,p24,g0,5,Ungrazed
PER P25_E_4,p,p25,g0,4,Ungrazed
PER P25_E_5,p,p25,g0,5,Ungrazed
PER P26_E_5,p,p26,g0,5,Ungrazed
PER P27_E_4,p,p27,g0,4,Ungrazed
PER P27_E_5,p,p27,g0,5,Ungrazed
PER P28_E_4,p,p28,g0,4,Ungrazed
PER P28_E_5,p,p28,g0,5,Ungrazed
PER P29_E_4,p,p29,g0,4,Ungrazed
PER P29_E_5,p,p29,g0,5,Ungrazed
PER P30_E_4,p,p30,g0,4,Ungrazed
PER P30_E_5,p,p30,g0,5,Ungrazed
PER P31_E_4,p,p31,g0,4,Ungrazed
PER P31_E_5,p,p31,g0,5,Ungrazed
PER P32_E_4,p,p32,g0,4,Ungrazed
PER P32_E_5,p,p32,g0,5,Ungrazed
PER P33_E_4,p,p33,g0,4,Ungrazed
PER P33_E_5,p,p33,g0,5,Ungrazed
PER P34_E_4,p,p34,g0,4,Ungrazed
PER P34_E_5,p,p34,g0,5,Ungrazed
PER P35_E_4,p,p35,g0,4,Ungrazed
PER P35_E_5,p,p35,g0,5,Ungrazed
PER P36_E_4,p,p36,g0,4,Ungrazed
PER P36_E_5,p,p36,g0,5,Ungrazed
PER P37_E_4,p,p37,g0,4,Ungrazed
PER P37_E_5,p,p37,g0,5,Ungrazed
PER P38_E_4,p,p38,g0,4,Ungrazed
PER P38_E_5,p,p38,g0,5,Ungrazed
PER P39_E_4,p,p39,g0,4,Ungrazed
PER P39_E_5,p,p39,g0,5,Ungrazed
PER P40_E_4,p,p40,g0,4,Ungrazed
PER P40_E_5,p,p40,g0,5,Ungrazed
PER P41_E_4,p,p41,g0,4,Ungrazed
PER P41_E_5,p,p41,g0,5,Ungrazed
PER P42_E_4,p,p42,g0,4,Ungrazed
PER P42_E_5,p,p42,g0,5,Ungrazed
PER P43_E_4,p,p43,g0,4,Ungrazed
PER P43_E_5,p,p43,g0,5,Ungrazed
PER P44_E_4,p,p44,g0,4,Ungrazed
PER P44_E_5,p,p44,g0,5,Ungrazed
PER P45_E_4,p,p45,g0,4,Ungrazed
PER P45_E_5,p,p45,g0,5,Ungrazed
PER P46_E_4,p,p46,g0,4,Ungrazed
PER P46_E_5,p,p46,g0,5,Ungrazed
PER P47_E_4,p,p47,g0,4,Ungrazed
PER P47_E_5,p,p47,g0,5,Ungrazed
PER P48_E_4,p,p48,g0,4,Ungrazed
PER P48_E_5,p,p48,g0,5,Ungrazed
PERP1_E_4,p,p01,g0,4,Ungrazed
PERP1_E_5,p,p01,g0,5,Ungrazed
PERP2_E_4,p,p02,g0,4,Ungrazed
PERP2_E_5,p,p02,g0,5,Ungrazed
