response,subset,term,contrast,bt_estimate,bt_conf_low,bt_conf_high,p_value,statistic,estimate_raw,model_name,model_formula,abbr_term,abbr_contrast,abbr_subset
richness,Native,Year,2022 - 2020,0.255908695,-0.625242103,1.137059493,0.56920441,0.569223596,0.255908695,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y5,nat
richness,Native,Year,2022 - 2021,1.013886449,0.368997896,1.658775003,0.002060068,3.081433087,1.013886449,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y6,nat
richness,Native forb,Grazing treatment,Grazed - Ungrazed,1.75,1.260207577,2.230977888,1.81E-12,7.048626953,1.745592732,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,frb
richness,Native forb,Year,2020 - 2019,0.206730753,-0.738773177,1.152234682,0.668259115,0.428538493,0.206730753,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y5 - y4,frb
richness,Native forb,Year,2021 - 2019,-0.31534743,-1.006629809,0.375934948,0.371273009,-0.894091366,-0.31534743,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y4,frb
richness,Native forb,Year,2021 - 2020,-0.522078183,-1.346938093,0.302781727,0.214783471,-1.240519054,-0.522078183,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y5,frb
richness,Native forb,Year,2022 - 2019,0.767608552,0.042181792,1.493035311,0.03808571,2.073931098,0.767608552,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y4,frb
richness,Native forb,Year,2022 - 2020,0.560877799,-0.288195311,1.409950909,0.195421573,1.294706278,0.560877799,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y5,frb
richness,Native forb,Year,2022 - 2021,1.082955982,0.456063716,1.709848248,7.10E-04,3.385836507,1.082955982,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y6,frb
richness,Non-native,Grazing treatment,Grazed - Ungrazed,0.02,0.002343317,0.046063055,1.92E-03,3.101587138,0.131515435,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,non
richness,Non-native,Year,2020 - 2019,0.011578142,0.05528426,3.97E-04,0.098174594,-1.653768326,-0.107601777,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y5 - y4,non
richness,Non-native,Year,2021 - 2019,0.148849179,0.229813138,0.0853991,6.66E-16,-8.080627984,-0.38580977,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y6 - y4,non
richness,Non-native,Year,2021 - 2020,0.077399687,0.153678644,0.027026475,1.66E-06,-4.7910936,-0.278207993,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y6 - y5,non
richness,Non-native,Year,2022 - 2019,0.134208432,0.21197914,0.074135013,2.29E-14,-7.633076558,-0.366344691,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y7 - y4,non
richness,Non-native,Year,2022 - 2020,0.066947895,0.139231033,0.020836656,9.29E-06,-4.433165402,-0.258742914,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y7 - y5,non
richness,Non-native,Year,2022 - 2021,3.79E-04,0.004113273,0.010622386,0.648137902,0.456350573,0.019465079,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y7 - y6,non
